ANNO_ACCADEMICO;ATENEO_CODICE;ATENEO_NOME;ATENEO_REGIONE;TIPOLOGIA_CORSO;GRUPPO_CORSO;CLASSE_CORSO_NUMERO;CLASSE_CORSO_NOME;CORSO_DI_STUDIO;SEDE_CORSO_PROVINCIA;SEDE_CORSO_REGIONE;IMMATRICOLATO;STUDENTI
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;AGRARIA;47/S;Specialistiche in medicina veterinaria;Medicina Veterinaria;TORINO;Piemonte;0;136
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;AGRARIA;LM-42;Medicina veterinaria;Medicina Veterinaria;TORINO;Piemonte;0;579
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;AGRARIA;LM-42;Medicina veterinaria;Medicina Veterinaria;TORINO;Piemonte;1;59
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;14/S;Specialistiche in farmacia e farmacia industriale;Chimica e Tecnologia Farmaceutiche;TORINO;Piemonte;0;36
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;14/S;Specialistiche in farmacia e farmacia industriale;Farmacia;TORINO;Piemonte;0;143
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;LM-13;Farmacia e farmacia industriale;Chimica e Tecnologia Farmaceutiche;TORINO;Piemonte;0;324
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;LM-13;Farmacia e farmacia industriale;Chimica e Tecnologia Farmaceutiche;TORINO;Piemonte;1;77
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;LM-13;Farmacia e farmacia industriale;Farmacia;TORINO;Piemonte;0;690
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;LM-13;Farmacia e farmacia industriale;Farmacia;TORINO;Piemonte;1;145
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;GIURIDICA;LMG/01;Magistrali in giurisprudenza;Giurisprudenza;TORINO;Piemonte;0;3662
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;GIURIDICA;LMG/01;Magistrali in giurisprudenza;Giurisprudenza;TORINO;Piemonte;1;536
2015/2016;00101;Torino;Piemonte;Laurea a Ciclo Unico;INSEGNAMENTO;LM-85 bis;Scienze della formazione primaria;Scienze della Formazione Primaria;CUNEO;Piemonte;0;168
