ANNO_ACCADEMICO;DATA;ATENEO_CODICE;ATENEO_NOME;ATENEO_REGIONE;TIPOLOGIA_CORSO;GRUPPO_CORSO;CLASSE_CORSO_NUMERO;CLASSE_CORSO_NOME;CORSO_DI_STUDIO;SEDE_CORSO_PROVINCIA;SEDE_CORSO_REGIONE;IMMATRICOLATO;STUDENTI
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;AGRARIA;47/S;Specialistiche in medicina veterinaria;Medicina Veterinaria;TORINO;PIEMONTE;0;106
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;AGRARIA;LM-42;Medicina veterinaria;Medicina Veterinaria;TORINO;PIEMONTE;0;621
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;AGRARIA;LM-42;Medicina veterinaria;Medicina Veterinaria;TORINO;PIEMONTE;1;38
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;14/S;Specialistiche in farmacia e farmacia industriale;Chimica e Tecnologia Farmaceutiche;TORINO;PIEMONTE;0;30
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;14/S;Specialistiche in farmacia e farmacia industriale;Farmacia;TORINO;PIEMONTE;0;103
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;LM-13;Farmacia e farmacia industriale;Chimica e Tecnologia Farmaceutiche;TORINO;PIEMONTE;0;342
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;LM-13;Farmacia e farmacia industriale;Chimica e Tecnologia Farmaceutiche;TORINO;PIEMONTE;1;69
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;LM-13;Farmacia e farmacia industriale;Farmacia;TORINO;PIEMONTE;0;720
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;CHIMICO-FARMACEUTICA;LM-13;Farmacia e farmacia industriale;Farmacia;TORINO;PIEMONTE;1;141
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;GIURIDICA;LMG/01;Magistrali in giurisprudenza;Giurisprudenza;TORINO;PIEMONTE;0;3451
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;GIURIDICA;LMG/01;Magistrali in giurisprudenza;Giurisprudenza;TORINO;PIEMONTE;1;542
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;INSEGNAMENTO;LM-85 bis;Scienze della formazione primaria;Scienze della Formazione Primaria;CUNEO;PIEMONTE;0;258
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;INSEGNAMENTO;LM-85 bis;Scienze della formazione primaria;Scienze della Formazione Primaria;CUNEO;PIEMONTE;1;69
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;INSEGNAMENTO;LM-85 bis;Scienze della formazione primaria;Scienze della Formazione Primaria;TORINO;PIEMONTE;0;1085
2016/2017;31/07/2017;00101;Torino;Piemonte;Laurea a Ciclo Unico;INSEGNAMENTO;LM-85 bis;Scienze della formazione primaria;Scienze della Formazione Primaria;TORINO;PIEMONTE;1;149
