ANNO_SOLARE;CODICE_ATENEO;NOME_ATENEO;LAUREATI_MASCHI;LAUREATI_FEMMINE
2016;00101;Torino;4570;7664
2016;00102;Torino Politecnico;3808;1625
2016;00201;Piemonte Orientale;657;1114
2016;00401;Bra - Scienze Gastronomiche;25;49
2016;00701;Aosta;44;145
2016;01001;Genova;2571;3389
2016;01201;Castellanza LIUC;395;220
2016;01202;Insubria;626;868
2016;01301;Novedrate e-Campus;422;478
2016;01501;Milano;4442;7033
2016;01502;Milano Politecnico;6672;3809
2016;01503;Milano Bocconi;2356;2261
2016;01504;Milano Cattolica;3197;6133
2016;01505;Milano IULM;325;785
2016;01508;Milano San Raffaele;167;327
2016;01509;Milano Bicocca;2416;4266
2016;01510;Rozzano (MI) Humanitas University;3;4
2016;01601;Bergamo;1049;1957
2016;01701;Brescia;1275;1231
2016;01801;Pavia;1877;2478
2016;02101;Bolzano;153;364
2016;02201;Trento;1773;1803
2016;02301;Verona;1433;2932
2016;02701;Venezia C� Foscari;1552;3222
2016;02702;Venezia Iuav;632;682
2016;02801;Padova;5327;6914
2016;03001;Udine;1397;1624
2016;03201;Trieste;1241;1826
2016;03401;Parma;1943;2587
2016;03601;Modena e Reggio Emilia;1778;2270
2016;03701;Bologna;7126;10046
2016;03801;Ferrara;1222;1643
2016;04101;Urbino Carlo Bo;870;1645
2016;04201;Marche;1557;1404
2016;04301;Macerata;440;1299
2016;04302;Camerino;520;550
2016;04801;Firenze;3254;4966
2016;05001;Pisa;3337;3607
2016;05201;Siena;1149;1748
2016;05202;Siena Stranieri;41;254
2016;05401;Perugia;1864;2650
2016;05403;Perugia Stranieri;55;93
2016;05601;Tuscia;639;597
2016;05801;Roma La Sapienza;7365;10863
2016;05802;Roma Tor Vergata;3002;3023
2016;05803;Roma LUMSA;357;931
2016;05805;Roma LUISS;1172;1155
2016;05806;Roma Foro Italico;326;181
2016;05807;Roma Tre;2447;3724
2016;05808;Roma Biomedico;148;296
2016;05809;Roma UNINT;84;301
2016;05810;Roma Marconi;920;713
2016;05811;Roma UNITELMA;190;152
2016;05812;Roma Europea;52;114
2016;05813;Roma UNINETTUNO;322;250
2016;05815;Roma UNICUSANO;1490;1030
2016;05816;Roma San Raffaele;135;99
2016;05817;Roma - Link Campus;190;89
2016;06001;Cassino;556;850
2016;06201;Sannio;431;465
2016;06202;Benevento - Giustino Fortunato;121;77
2016;06301;Napoli Federico II;5407;7280
2016;06302;Napoli Parthenope;1099;1086
2016;06303;Napoli L'Orientale;324;1310
2016;06304;Napoli Benincasa;209;1329
2016;06306;Napoli II;1174;1795
2016;06307;Napoli Pegaso;391;165
2016;06501;Salerno;1880;3061
2016;06601;L'Aquila;1471;2256
2016;06701;Teramo;424;544
2016;06901;Chieti e Pescara;1595;3595
2016;06902;Torrevecchia Teatina - Leonardo da Vinci;20;16
2016;07001;Molise;416;658
2016;07101;Foggia;523;973
2016;07201;Bari;2611;4789
2016;07202;Bari Politecnico;1312;702
2016;07203;Casamassima - J.Monnet;163;102
2016;07501;Salento;1081;2230
2016;07601;Basilicata;366;470
2016;07801;Calabria;1648;2744
2016;07901;Catanzaro;462;788
2016;08001;Reggio Calabria;526;428
2016;08003;Reggio Calabria - Dante Alighieri;31;185
2016;08201;Palermo;2851;4667
2016;08301;Messina;1473;2892
2016;08601;Enna - KORE;395;699
2016;08701;Catania;2468;3984
2016;09001;Sassari;662;1261
2016;09201;Cagliari;1476;2415
