id_access_point;rete;provider;latitudine;longitudine
99;WIFI CONFINDUSTRIA VICENZA;SAIV;45.54604904;11.54038227
40;VICENZA WIFI;TELEMAR;45.56554594;11.55753488
3;VICENZA WIFI;TELEMAR;45.54366279;11.5270295
2;VICENZA WIFI;TELEMAR;45.54509105;11.52602898
12;VICENZA WIFI;TELEMAR;45.5689222;11.51248414
11;VICENZA WIFI;TELEMAR;45.56784203;11.51253703
47;VICENZA WIFI;TELEMAR;45.53687533;11.514035
51;WIFI PLAZA;TELEMAR;45.54623713;11.54338544
48;WIFI PLAZA;TELEMAR;45.54702362;11.54627188
57;WIFI PLAZA;TELEMAR;45.54554579;11.54151703
60;WIFI PLAZA;TELEMAR;45.54532322;11.54919944
75;VICENZA WIFI;TELEMAR;45.54128085;11.51096222
6;VICENZA WIFI;TELEMAR;45.53986015;11.51393242
5;VICENZA WIFI;TELEMAR;45.54084089;11.51288293
24;VICENZA WIFI;TELEMAR;45.54455907;11.57163197
77;VICENZA WIFI;TELEMAR;45.54300192;11.57091587
76;VICENZA WIFI;TELEMAR;45.54275341;11.57094814
101;FREE INTERPLANET WIFI STAR;INTERPLANET;45.5597453;11.53052181
70;VICENZA WIFI;TELEMAR;45.57417467;11.5440835
79;VICENZA WIFI;TELEMAR;45.54874406;11.54844224
68;VICENZA WIFI;TELEMAR;45.56828968;11.57408069
46;VICENZA WIFI;TELEMAR;45.55133384;11.53353746
120;VICENZA WIFI;TELEMAR;45.56067396;11.54008504
10;VICENZA WIFI;TELEMAR;45.55582333;11.51621816
13;VICENZA WIFI;TELEMAR;45.53654076;11.5259442
25;VICENZA WIFI;TELEMAR;45.54285277;11.57078328
69;VICENZA WIFI;TELEMAR;45.50521614;11.57011866
41;VICENZA WIFI;TELEMAR;45.59001456;11.551365
15;VICENZA WIFI;TELEMAR;45.53586164;11.52617629
66;WIFI PLAZA;TELEMAR;45.54515456;11.54458776
36;VICENZA WIFI;TELEMAR;45.56230813;11.54391652
35;VICENZA WIFI;TELEMAR;45.56184372;11.5339309
34;VICENZA WIFI;TELEMAR;45.56063404;11.53233313
9;VICENZA WIFI;TELEMAR;45.55573;11.5170983
8;VICENZA WIFI;TELEMAR;45.55583939;11.51821266
44;VICENZA WIFI;TELEMAR;45.5506116;11.52585696
43;VICENZA WIFI;TELEMAR;45.5506889;11.52457533
28;VICENZA WIFI;TELEMAR;45.55799006;11.56535113
121;VICENZA WIFI;TELEMAR;45.56441155;11.56778027
74;VICENZA WIFI;TELEMAR;45.55950923;11.54310608
73;VICENZA WIFI;TELEMAR;45.56047875;11.54421469
72;VICENZA WIFI;TELEMAR;45.56035701;11.54280944
71;VICENZA WIFI;TELEMAR;45.56033457;11.54261092
63;WIFI PLAZA;TELEMAR;45.54795455;11.54242589
65;WIFI PLAZA;TELEMAR;45.54667233;11.54711518
64;WIFI PLAZA;TELEMAR;45.54654131;11.54635276
62;WIFI PLAZA;TELEMAR;45.54369632;11.53900596
67;E4A;E4A;45.54921921;11.54382057
49;WIFI PLAZA;TELEMAR;45.54775255;11.54485443
52;WIFI PLAZA;TELEMAR;45.54818872;11.54840169
50;WIFI PLAZA;TELEMAR;45.54802014;11.54776431
55;WIFI PLAZA;TELEMAR;45.5537;11.54878661
54;WIFI PLAZA;TELEMAR;45.5445446;11.520765
59;WIFI PLAZA;TELEMAR;45.5412;11.54074002
58;WIFI PLAZA;TELEMAR;45.54782307;11.54993494
53;WIFI PLAZA;TELEMAR;45.54890801;11.55000451
119;VICENZA WIFI;TELEMAR;45.54284084;11.51729641
78;VICENZA WIFI;TELEMAR;45.5247413;11.56166426
27;VICENZA WIFI;TELEMAR;45.54991508;11.56189402
56;WIFI PLAZA;TELEMAR;45.5456099;11.54558814
139;WIFI PLAZA;TELEMAR;45.54342316;11.5413305
61;WIFI PLAZA;TELEMAR;45.54438071;11.5533813
38;;;45.57267952;11.54425526
122;;;45.50755318;11.56784238
